feature,coefficient
cat__Discharge Time_19:49:52,0.0
cat__Discharge Time_20:31:57,0.0
cat__Discharge Time_20:31:12,0.0
cat__Discharge Time_20:30:12,0.0
cat__Discharge Time_20:29:55,0.0
cat__Discharge Time_20:29:39,0.0
cat__Discharge Time_20:28:56,0.0
cat__Discharge Time_20:03:46,0.0
cat__Discharge Time_20:03:15,0.0
cat__Discharge Time_20:16:27,0.0
cat__Discharge Time_19:59:23,0.0
cat__Discharge Time_19:57:17,0.0
cat__Discharge Time_19:56:30,0.0
cat__Discharge Time_20:22:51,0.0
cat__Discharge Time_20:21:50,0.0
cat__Discharge Time_20:21:18,0.0
cat__Discharge Time_20:18:03,0.0
cat__Discharge Time_20:18:00,0.0
cat__Discharge Time_20:02:16,0.0
cat__Discharge Time_19:28:17,0.0
cat__Discharge Time_19:25:12,0.0
cat__Discharge Time_19:25:00,0.0
cat__Discharge Time_19:24:23,0.0
cat__Discharge Time_19:23:41,0.0
cat__Discharge Time_19:23:22,0.0
cat__Discharge Time_19:45:20,0.0
cat__Discharge Time_19:43:52,0.0
cat__Discharge Time_20:06:59,0.0
cat__Discharge Time_19:43:45,0.0
cat__Discharge Time_19:43:13,0.0
cat__Discharge Time_19:41:28,0.0
cat__Discharge Time_19:41:20,0.0
cat__Discharge Time_19:39:54,0.0
cat__Discharge Time_19:38:57,0.0
cat__Discharge Time_19:37:22,0.0
cat__Discharge Time_19:17:32,0.0
cat__Discharge Time_19:43:48,0.0
cat__Discharge Time_20:06:28,0.0
cat__Discharge Time_20:05:53,0.0
cat__Discharge Time_19:37:13,0.0
cat__Discharge Time_19:35:22,0.0
cat__Discharge Time_19:34:54,0.0
cat__Discharge Time_19:33:17,0.0
cat__Discharge Time_19:32:53,0.0
cat__Discharge Time_19:32:44,0.0
cat__Discharge Time_19:52:25,0.0
cat__Discharge Time_19:54:52,0.0
cat__Discharge Time_19:54:37,0.0
cat__Discharge Time_19:54:25,0.0
cat__Discharge Time_19:54:24,0.0
cat__Discharge Time_19:53:21,0.0
cat__Discharge Time_19:53:07,0.0
cat__Discharge Time_19:52:50,0.0
cat__Discharge Time_19:52:34,0.0
cat__Discharge Time_19:55:21,0.0
cat__Discharge Time_17:18:57,0.0
cat__Discharge Time_17:18:50,0.0
cat__Discharge Time_17:42:21,0.0
cat__Discharge Time_17:42:16,0.0
cat__Discharge Time_17:41:19,0.0
cat__Discharge Time_17:40:51,0.0
cat__Discharge Time_17:40:38,0.0
cat__Discharge Time_17:40:19,0.0
cat__Discharge Time_18:53:36,0.0
cat__Discharge Time_17:39:50,0.0
cat__Discharge Time_17:38:15,0.0
cat__Discharge Time_17:38:05,0.0
cat__Discharge Time_17:09:56,0.0
cat__Discharge Time_17:09:54,0.0
cat__Discharge Time_17:08:11,0.0
cat__Discharge Time_17:07:37,0.0
cat__Discharge Time_17:03:47,0.0
cat__Discharge Time_17:40:03,0.0
cat__Discharge Time_17:34:59,0.0
cat__Discharge Time_17:31:54,0.0
cat__Discharge Time_17:31:24,0.0
cat__Discharge Time_17:30:48,0.0
cat__Discharge Time_17:57:30,0.0
cat__Discharge Time_17:57:10,0.0
cat__Discharge Time_17:57:01,0.0
cat__Discharge Time_17:53:55,0.0
cat__Discharge Time_17:20:21,0.0
cat__Discharge Time_17:50:20,0.0
cat__Discharge Time_17:48:27,0.0
cat__Discharge Time_17:47:38,0.0
cat__Discharge Time_17:47:14,0.0
cat__Discharge Time_17:46:08,0.0
cat__Discharge Time_17:22:25,0.0
cat__Discharge Time_17:21:03,0.0
cat__Discharge Time_17:20:36,0.0
cat__Discharge Time_17:53:26,0.0
cat__Discharge Time_17:16:03,0.0
cat__Discharge Time_17:15:37,0.0
cat__Discharge Time_17:15:27,0.0
cat__Discharge Time_17:15:19,0.0
cat__Discharge Time_17:14:49,0.0
cat__Discharge Time_17:13:09,0.0
cat__Discharge Time_17:11:56,0.0
cat__Discharge Time_17:10:37,0.0
cat__Discharge Time_17:03:35,0.0
cat__Discharge Time_16:40:36,0.0
cat__Discharge Time_16:40:28,0.0
cat__Discharge Time_13:34:03,0.0
cat__Discharge Time_16:39:35,0.0
cat__Discharge Time_16:39:18,0.0
cat__Discharge Time_17:02:06,0.0
cat__Discharge Time_17:01:57,0.0
cat__Discharge Time_17:01:28,0.0
cat__Discharge Time_16:41:21,0.0
cat__Discharge Time_17:29:52,0.0
cat__Discharge Time_17:29:31,0.0
cat__Discharge Time_17:29:10,0.0
cat__Discharge Time_17:27:40,0.0
cat__Discharge Time_17:27:31,0.0
cat__Discharge Time_17:25:11,0.0
cat__Discharge Time_17:23:49,0.0
cat__Discharge Time_17:23:32,0.0
cat__Discharge Time_17:16:28,0.0
cat__Discharge Time_17:22:39,0.0
cat__Discharge Time_16:56:14,0.0
cat__Discharge Time_16:53:22,0.0
cat__Discharge Time_16:53:15,0.0
cat__Discharge Time_16:51:43,0.0
cat__Discharge Time_16:50:06,0.0
cat__Discharge Time_16:48:11,0.0
cat__Discharge Time_17:18:05,0.0
cat__Discharge Time_17:23:22,0.0
cat__Discharge Time_18:42:59,0.0
cat__Discharge Time_18:42:56,0.0
cat__Discharge Time_18:42:07,0.0
cat__Discharge Time_18:41:59,0.0
cat__Discharge Time_18:12:47,0.0
cat__Discharge Time_18:12:30,0.0
cat__Discharge Time_18:12:23,0.0
cat__Discharge Time_18:12:21,0.0
cat__Discharge Time_17:35:01,0.0
cat__Discharge Time_18:09:48,0.0
cat__Discharge Time_18:32:16,0.0
cat__Discharge Time_18:31:36,0.0
cat__Discharge Time_18:30:32,0.0
cat__Discharge Time_18:30:28,0.0
cat__Discharge Time_18:30:03,0.0
cat__Discharge Time_18:29:21,0.0
cat__Discharge Time_18:29:04,0.0
cat__Discharge Time_18:11:31,0.0
cat__Discharge Time_18:53:27,0.0
cat__Discharge Time_18:51:56,0.0
cat__Discharge Time_18:51:48,0.0
cat__Discharge Time_18:51:17,0.0
cat__Discharge Time_18:50:11,0.0
cat__Discharge Time_18:49:45,0.0
cat__Discharge Time_18:25:58,0.0
cat__Discharge Time_18:23:52,0.0
cat__Discharge Time_18:43:30,0.0
cat__Discharge Time_18:22:00,0.0
cat__Discharge Time_18:21:53,0.0
cat__Discharge Time_18:18:24,0.0
cat__Discharge Time_18:48:13,0.0
cat__Discharge Time_18:47:01,0.0
cat__Discharge Time_18:46:19,0.0
cat__Discharge Time_18:45:34,0.0
cat__Discharge Time_18:44:57,0.0
cat__Discharge Time_18:23:05,0.0
cat__Discharge Time_17:45:45,0.0
cat__Discharge Time_17:44:34,0.0
cat__Discharge Time_17:43:38,0.0
cat__Discharge Time_17:43:23,0.0
cat__Discharge Time_17:43:03,0.0
cat__Discharge Time_17:42:23,0.0
cat__Discharge Time_18:09:01,0.0
cat__Discharge Time_18:08:19,0.0
cat__Discharge Time_18:28:56,0.0
cat__Discharge Time_18:07:06,0.0
cat__Discharge Time_18:05:30,0.0
cat__Discharge Time_18:04:14,0.0
cat__Discharge Time_18:02:33,0.0
cat__Discharge Time_18:02:03,0.0
cat__Discharge Time_18:01:50,0.0
cat__Discharge Time_18:01:14,0.0
cat__Discharge Time_17:37:32,0.0
cat__Discharge Time_18:07:29,0.0
cat__Discharge Time_18:28:48,0.0
cat__Discharge Time_18:28:34,0.0
cat__Discharge Time_18:00:59,0.0
cat__Discharge Time_18:00:56,0.0
cat__Discharge Time_18:00:11,0.0
cat__Discharge Time_18:00:06,0.0
cat__Discharge Time_17:59:02,0.0
cat__Discharge Time_17:58:44,0.0
cat__Discharge Time_18:12:59,0.0
cat__Discharge Time_18:17:35,0.0
cat__Discharge Time_18:17:17,0.0
cat__Discharge Time_18:16:42,0.0
cat__Discharge Time_18:16:09,0.0
cat__Discharge Time_18:14:59,0.0
cat__Discharge Time_18:14:47,0.0
cat__Discharge Time_18:14:03,0.0
cat__Discharge Time_18:13:50,0.0
cat__Discharge Time_18:17:54,0.0
cat__Discharge Time_09:21:57,0.0
cat__Discharge Time_09:21:56,0.0
cat__Discharge Time_09:19:33,0.0
cat__Discharge Time_09:19:10,0.0
cat__Discharge Time_09:18:57,0.0
cat__Discharge Time_09:18:49,0.0
cat__Discharge Time_08:54:02,0.0
cat__Discharge Time_13:52:07,0.0
cat__Discharge Time_08:52:31,0.0
cat__Discharge Time_08:52:30,0.0
cat__Discharge Time_08:51:55,0.0
cat__Discharge Time_08:51:16,0.0
cat__Discharge Time_09:11:55,0.0
cat__Discharge Time_09:11:28,0.0
cat__Discharge Time_09:11:08,0.0
cat__Discharge Time_09:11:06,0.0
cat__Discharge Time_08:53:27,0.0
cat__Discharge Time_09:31:03,0.0
cat__Discharge Time_09:30:12,0.0
cat__Discharge Time_09:30:06,0.0
cat__Discharge Time_09:29:13,0.0
cat__Discharge Time_09:28:36,0.0
cat__Discharge Time_09:28:00,0.0
cat__Discharge Time_09:27:54,0.0
cat__Discharge Time_09:27:50,0.0
cat__Discharge Time_09:22:30,0.0
cat__Discharge Time_09:04:31,0.0
cat__Discharge Time_09:04:21,0.0
cat__Discharge Time_09:02:46,0.0
cat__Discharge Time_09:02:13,0.0
cat__Discharge Time_09:01:25,0.0
cat__Discharge Time_09:25:21,0.0
cat__Discharge Time_09:24:48,0.0
cat__Discharge Time_09:23:10,0.0
cat__Discharge Time_09:05:06,0.0
cat__Discharge Time_08:56:42,0.0
cat__Discharge Time_08:55:47,0.0
cat__Discharge Time_08:54:49,0.0
cat__Discharge Time_08:29:10,0.0
cat__Discharge Time_08:29:03,0.0
cat__Discharge Time_08:28:41,0.0
cat__Discharge Time_08:26:41,0.0
cat__Discharge Time_08:26:37,0.0
cat__Discharge Time_09:09:59,0.0
cat__Discharge Time_08:50:27,0.0
cat__Discharge Time_08:49:40,0.0
cat__Discharge Time_08:49:34,0.0
cat__Discharge Time_08:49:33,0.0
cat__Discharge Time_08:49:17,0.0
cat__Discharge Time_08:48:55,0.0
cat__Discharge Time_08:48:16,0.0
cat__Discharge Time_08:47:27,0.0
cat__Discharge Time_08:26:06,0.0
cat__Discharge Time_09:09:56,0.0
cat__Discharge Time_09:09:19,0.0
cat__Discharge Time_09:08:34,0.0
cat__Discharge Time_09:08:28,0.0
cat__Discharge Time_09:05:09,0.0
cat__Discharge Time_08:46:41,0.0
cat__Discharge Time_08:45:53,0.0
cat__Discharge Time_08:45:22,0.0
cat__Discharge Time_08:56:54,0.0
cat__Discharge Time_08:42:45,0.0
cat__Discharge Time_08:40:34,0.0
cat__Discharge Time_09:01:22,0.0
cat__Discharge Time_08:59:44,0.0
cat__Discharge Time_08:59:18,0.0
cat__Discharge Time_08:59:13,0.0
cat__Discharge Time_08:58:15,0.0
cat__Discharge Time_08:56:58,0.0
cat__Discharge Time_08:44:56,0.0
cat__Discharge Time_09:44:54,0.0
cat__Discharge Time_09:44:02,0.0
cat__Discharge Time_09:43:04,0.0
cat__Discharge Time_10:06:02,0.0
cat__Discharge Time_10:05:48,0.0
cat__Discharge Time_10:03:37,0.0
cat__Discharge Time_10:01:26,0.0
cat__Discharge Time_09:31:15,0.0
cat__Discharge Time_10:01:09,0.0
cat__Discharge Time_10:00:54,0.0
cat__Discharge Time_10:00:41,0.0
cat__Discharge Time_09:59:46,0.0
cat__Discharge Time_09:58:54,0.0
cat__Discharge Time_09:34:26,0.0
cat__Discharge Time_09:34:20,0.0
cat__Discharge Time_09:34:15,0.0
cat__Discharge Time_10:01:14,0.0
cat__Discharge Time_09:56:45,0.0
cat__Discharge Time_09:55:39,0.0
cat__Discharge Time_09:54:40,0.0
cat__Discharge Time_09:52:38,0.0
cat__Discharge Time_09:52:15,0.0
cat__Discharge Time_10:21:52,0.0
cat__Discharge Time_10:21:41,0.0
cat__Discharge Time_10:20:30,0.0
cat__Discharge Time_09:45:04,0.0
cat__Discharge Time_10:19:29,0.0
cat__Discharge Time_10:18:57,0.0
cat__Discharge Time_10:16:39,0.0
cat__Discharge Time_10:14:50,0.0
cat__Discharge Time_10:14:08,0.0
cat__Discharge Time_10:13:15,0.0
cat__Discharge Time_09:47:44,0.0
cat__Discharge Time_09:47:31,0.0
cat__Discharge Time_10:20:16,0.0
cat__Discharge Time_09:42:51,0.0
cat__Discharge Time_09:41:46,0.0
cat__Discharge Time_09:40:34,0.0
cat__Discharge Time_09:40:09,0.0
cat__Discharge Time_09:39:39,0.0
